name,official_name,state,country,population,pop_year,tier,type,geoid,lat,lon,coord_source
Columbus,Columbus city,OH,US,933263,2024,1,incorporated place,3918000,39.983938,-82.984882,census_gazetteer
Indianapolis,Indianapolis city (balance),IN,US,891484,2024,1,consolidated city (balance),1836003,39.776664,-86.145935,census_gazetteer
San Francisco,San Francisco city,CA,US,827526,2024,1,incorporated place,0667000,37.727239,-123.032229,census_gazetteer
Seattle,Seattle city,WA,US,780995,2024,1,incorporated place,5363000,47.619335,-122.351538,census_gazetteer
Winnipeg,Winnipeg,MB,CA,749607,2021,1,census subdivision,4611040,49.8844,-97.14704,census_gazetteer
Denver,Denver city,CO,US,729019,2024,1,incorporated place,0820000,39.76185,-104.881105,census_gazetteer
Mississauga,Mississauga,ON,CA,717961,2021,1,census subdivision,3521005,43.5789,-79.6583,census_gazetteer
Oklahoma City,Oklahoma City city,OK,US,712919,2024,1,incorporated place,4055000,35.467079,-97.513657,census_gazetteer
Nashville,Nashville-Davidson metropolitan government (balance),TN,US,704963,2024,1,consolidated city (balance),4752006,36.1718,-86.785002,census_gazetteer
Washington,Washington city,DC,US,702250,2024,1,incorporated place,1150000,38.904247,-77.016517,census_gazetteer
El Paso,El Paso city,TX,US,681723,2024,1,incorporated place,4824000,31.84778,-106.431106,census_gazetteer
Las Vegas,Las Vegas city,NV,US,678922,2024,1,incorporated place,3240000,36.233499,-115.264037,census_gazetteer
Boston,Boston city,MA,US,673458,2024,1,incorporated place,2507000,42.338551,-71.018253,census_gazetteer
Vancouver,Vancouver,BC,CA,662248,2021,1,census subdivision,5915022,49.24966,-123.11934,census_gazetteer
Brampton,Brampton,ON,CA,656480,2021,1,census subdivision,3521010,43.68341,-79.76633,census_gazetteer
Detroit,Detroit city,MI,US,645705,2024,1,incorporated place,2622000,42.383037,-83.102237,census_gazetteer
Louisville,Louisville/Jefferson County metro government (balance),KY,US,640796,2024,1,consolidated city (balance),2148006,38.165376,-85.647377,census_gazetteer
Portland,Portland city,OR,US,635749,2024,1,incorporated place,4159000,45.536951,-122.649971,census_gazetteer
Memphis,Memphis city,TN,US,610919,2024,1,incorporated place,4748000,35.109164,-89.968511,census_gazetteer
Hamilton,Hamilton,ON,CA,569353,2021,1,census subdivision,3525005,43.25011,-79.84963,census_gazetteer
Surrey,Surrey,BC,CA,568322,2021,1,census subdivision,5915004,49.10635,-122.82509,census_gazetteer
Baltimore,Baltimore city,MD,US,568271,2024,1,incorporated place,2404000,39.300032,-76.610476,census_gazetteer
Milwaukee,Milwaukee city,WI,US,563531,2024,1,incorporated place,5553000,43.063348,-87.966695,census_gazetteer
Albuquerque,Albuquerque city,NM,US,560326,2024,1,incorporated place,3502000,35.10478,-106.646809,census_gazetteer
Tucson,Tucson city,AZ,US,554013,2024,1,incorporated place,0477000,32.153036,-110.870773,census_gazetteer
Fresno,Fresno city,CA,US,550105,2024,1,incorporated place,0627000,36.782684,-119.793359,census_gazetteer
Québec,Québec,QC,CA,549459,2021,1,census subdivision,2423027,46.81228,-71.21454,census_gazetteer
Sacramento,Sacramento city,CA,US,535798,2024,1,incorporated place,0664000,38.567694,-121.468161,census_gazetteer
Atlanta,Atlanta city,GA,US,520070,2024,1,incorporated place,1304000,33.762909,-84.422675,census_gazetteer
Mesa,Mesa city,AZ,US,517151,2024,1,incorporated place,0446000,33.400626,-111.716487,census_gazetteer
Kansas City,Kansas City city,MO,US,516032,2024,1,incorporated place,2938000,39.125155,-94.550313,census_gazetteer
Raleigh,Raleigh city,NC,US,499825,2024,1,incorporated place,3755000,35.831868,-78.641042,census_gazetteer
Colorado Springs,Colorado Springs city,CO,US,493554,2024,1,incorporated place,0816000,38.867255,-104.760749,census_gazetteer
Omaha,Omaha city,NE,US,489265,2024,1,incorporated place,3137000,41.262705,-96.053475,census_gazetteer
Miami,Miami city,FL,US,487014,2024,1,incorporated place,1245000,25.775163,-80.208615,census_gazetteer
Virginia Beach,Virginia Beach city,VA,US,454808,2024,1,incorporated place,5182000,36.779525,-76.029142,census_gazetteer
Long Beach,Long Beach city,CA,US,450901,2024,1,incorporated place,0643000,33.780791,-118.16818,census_gazetteer
Oakland,Oakland city,CA,US,443554,2024,1,incorporated place,0653000,37.769846,-122.22569,census_gazetteer
Halifax,Halifax,NS,CA,439819,2021,1,census subdivision,1209034,44.64269,-63.57688,census_gazetteer
Laval,Laval,QC,CA,438366,2021,1,census subdivision,2465005,45.56995,-73.692,census_gazetteer
Minneapolis,Minneapolis city,MN,US,428579,2024,1,incorporated place,2743000,44.963324,-93.26832,census_gazetteer
London,London,ON,CA,422324,2021,1,census subdivision,3539036,42.98339,-81.23304,census_gazetteer
Bakersfield,Bakersfield city,CA,US,417468,2024,1,incorporated place,0603526,35.353171,-119.037919,census_gazetteer
Tulsa,Tulsa city,OK,US,415154,2024,1,incorporated place,4075000,36.127949,-95.902316,census_gazetteer
Tampa,Tampa city,FL,US,414547,2024,1,incorporated place,1271000,27.970086,-82.479673,census_gazetteer
Arlington,Arlington city,TX,US,403672,2024,1,incorporated place,4804000,32.700708,-97.124691,census_gazetteer
Aurora,Aurora city,CO,US,403130,2024,1,incorporated place,0804000,39.709537,-104.720509,census_gazetteer
